Country,Continent,Region,Government Type,Religion,Leader,Population,GDP PC,Area (km²),Area (sq mi),Max GDPPC Grow Rt,Adj GDPPC Growth,Pop Growth Rate,2040 Population,2040 GDP,2040 GDP PC,Actual GDP Growth,,,,,,,,,
Fiannria,Levantia,Gallia Magna,Federal semi-presidential republic,Catholic (Latin Rite),President Colm Brennan,"406,465,789","$55,939.95","3,937,300.00","1,520,200.00",1.50%,0.05%,0.80%,"409,717,515","$22,930,613,097,157.40 ","$55,966.89 ",0.84%,,,,,,,,X,"500,000,000+"
Hendalarsk,Levantia,Gothica,Federal parliamentary constitutional republic,National Catholic (Hendalarsker Rite),Primarch Judka Haller,"82,250,000","$16,024.00","1,173,860.00","453,230.00",7.50%,0.24%,0.60%,"82,746,553","$1,329,122,950,795.27 ","$16,062.58 ",0.84%,,,,,,,,,
Yonderre,Levantia,Gothica,Federal parliamentary elective constitutional monarchy,Catholic (Latin Rite),Steward Hercule d'Arcaneaux,"100,235,660","$62,040.56","1,261,724.00","487,154.00",1.50%,0.05%,0.24%,"100,471,875","$6,236,332,760,433.10 ","$62,070.43 ",0.28%,,,,,,,,,
Burgundie,Levantia,Great Levantia,Unitary thalattocractic parliamentary constitutional monarchy,Catholic (Latin Rite),Chief Minister Ermengarde-Cecil de Pristoria,"393,741,767","$50,170.00","2,943,262.51","1,136,400.01",2.75%,0.09%,0.63%,"396,202,653","$19,895,033,954,945.30 ","$50,214.29 ",0.71%,,,,,,,,,
Urcea,Levantia,Great Levantia,Federal parliamentary constitutional monarchy,Catholic (Latin Rite),Procurator Caelian Agricola & Chancellor Cassia Mac-Niall,"775,224,985","$56,793.00","5,511,313.40","2,127,930.00",1.50%,0.05%,0.99%,"782,899,712","$44,484,632,405,628.30 ","$56,820.35 ",1.03%,,,,Rand Num Form,,,,,
Argyrea,Audonia,Daria,Federal Bolshevist-Livasist one-party socialist republic,Irreligious,Chairwoman Zoe Alafouzos,"328,993,212","$24,568.00","1,669,972.53","644,780.00",7.50%,0.24%,1.08%,"332,559,894","$8,190,001,538,037.04 ","$24,627.15 ",1.31%,,,,-0.9624345999,,,,,
Thervala,Audonia,Dolong,Unitary parliamentary constitutional monarchy,Buddhist (Vattaya),Prime Minister Chatchai Suriyawan,"80,000,000","$7,000.00","1,921,563.98","741,920.00",10.00%,0.32%,4.00%,"83,200,000","$584,269,504,000.00 ","$7,022.47 ",4.15%,,,,,,,,,
Metzetta,Audonia,Dolong,Unitary absolute monarchy,Chulcheoist,Emperor Hachi,"77,000,000","$38,824.33","821,078.03","317,020.00",3.50%,0.11%,2.47%,"78,901,900","$3,066,755,035,835.53 ","$38,867.95 ",2.52%,,,,,,,,,
Daxia,Audonia,Dolong,Unitary one-party presidential republic,Irreligious,Chancellor Prib Dodd,"698,168,695","$36,222.00","4,786,479.33","1,848,070.00",3.50%,0.11%,0.60%,"702,357,707","$25,469,383,608,888.20 ","$36,262.70 ",0.71%,,,,,,,,,
Soleylib,Australis,Minor Outlying Islands,Unitary parliamentary republic,Catholic (Latin Rite),Prime Minister Ayo Famara,"934,836","$23,637.00","20,538.61","7,930.00",7.50%,0.24%,6.00%,"990,926","$23,478,911,364.78 ","$23,693.91 ",5.89%,,,,,,,,,
Slaconia,Sarpedon,Sarposlavia,Unitary parliamentary republic,Catholic (Caphiric Rite),Regent Lozan Razumikhin,"85,450,000","$15,650.00","1,184,531.00","457,350.00",7.50%,0.24%,5.50%,"90,149,750","$1,414,240,193,436.91 ","$15,687.68 ",5.44%,,,,,,,,,
Caldera,Crona,Cusinaut,Unitary presidential republic,Volinist,President Ben Goodstein,"10,019,538","$5,210.00",250.00,97.00,10.00%,0.32%,1.62%,"10,181,855","$53,217,744,379.38 ","$5,226.72 ",1.91%,,,,,,,,,
Lucrecia,Sarpedon,Vallos,Federal semi-presidential diarchic semi-aristocratic directorial republic,Catholic (Caphiric Rite),Consuls Maruxa Estévez & Juana Igea,"30,207,272","$65,177.00","348,586.50","134,590.00",0.50%,0.02%,2.40%,"30,932,247","$2,016,394,611,356.08 ","$65,187.46 ",2.36%,,,,,,,,,
Kelekona,Crona,Central Crona,Federal parliamentary tetrarchic semi-constitutional co-qhapaqate,Nahibian,Umalliq Tupaq Caian IV,"130,242,779","$3,654.71","518,748.72","200,290.00",10.00%,0.32%,3.00%,"134,150,062","$491,853,371,878.23 ","$3,666.44 ",3.22%,,,,,,,,,
Ardmore,Levantia,Gothica,Unitary dominant-party syndicalist parliamentary republic,Fellowist,Chairman Kellen Melns,"22,236,158","$35,853.00","73,270.76","28,290.00",3.50%,0.11%,4.00%,"23,125,604","$830,053,810,579.67 ","$35,893.28 ",3.95%,,,,,,,,,
Malentina,Crona,South Crona,Confederal presidential directorial republic,Neo-Ænglican (Malentine Rite),"Presidents Siwasyan T'ukri, Daniel Duke, & Pedro Čivok","26,472,568","$23,874.00","68,375.69","26,400.00",7.50%,0.24%,2.40%,"27,107,910","$648,732,306,524.06 ","$23,931.48 ",2.58%,,,,,,,,,
Volonia,Sarpedon,Sarposlavia,Unitary presidential republic,Catholic (Latin Rite),National Tribune Serghei Predoiu,"54,011,195","$32,644.00","879,611.76","339,620.00",5.00%,0.16%,2.80%,"55,523,508","$1,815,418,487,771.56 ","$32,696.39 ",2.88%,,,,,,,,,
Netansett,Crona,Cusinaut,Semi-federal assembly-independent republic,M'acunist,Autocrat Maitsoi Taphanso,"21,087,326","$15,605.00","637,240.68","246,040.00",7.50%,0.24%,3.50%,"21,825,382","$341,405,051,118.26 ","$15,642.57 ",3.61%,,,,,,,,,
Chakailan,Crona,South Crona,Federal semi-presidential republic,Solar Arzalist,President Lursa T'artok,"305,680","$1,022.00","93,731.67","36,190.00",10.00%,0.32%,2.00%,"311,794","$319,675,935.52 ","$1,025.28 ",2.27%,,,,,,,,,
Kandara,Audonia,Al'qarra,Unitary stratocratic republic,Islamic (Shi'ite),Admiral-General Stephan Mojalefa,"18,476,480","$1,753.00","1,515,583.34","585,170.00",10.00%,0.32%,5.00%,"19,400,304","$34,117,900,944.65 ","$1,758.63 ",5.07%,,,,,,,,,
Mehristan,Audonia,Al'qarra,Federal presidential constitutional republic,Islamic (Sunni),Marshall Ramana Medres,"22,321,740","$39,457.00","345,504.41","133,400.00",3.50%,0.11%,3.00%,"22,991,392","$908,190,569,060.65 ","$39,501.33 ",3.02%,,,,,,,,,
Zaclaria,Audonia,Al'qarra,Unitary Islamic crowned republic,Islamic (Nizari Shi'ite),Sultana Arabella IX,"82,113,077","$23,140.00","1,041,745.02","402,220.00",7.50%,0.24%,3.00%,"84,576,469","$1,961,811,216,879.25 ","$23,195.71 ",3.15%,,,,,,,,,
Oyashima,Audonia,Dolong,Federal elective constitutional monarchy,Shinto,Lord of Lords Koshamain Itakshir,"46,328,535","$31,493.00","495,412.93","191,280.00",5.00%,0.16%,2.70%,"47,579,405","$1,500,823,176,915.55 ","$31,543.55 ",2.79%,,,,,,,,,
Huoxia,Audonia,Dolong,Unitary semi-presidential republic,Confucian,President Eje Tsaka,"64,862,972","$14,846.00","1,393,828.00","538,160.00",7.50%,0.24%,4.00%,"67,457,491","$1,003,884,958,041.85 ","$14,881.74 ",4.08%,,,,,,,,,
Canpei,Audonia,Dolong,Unitary presidential republic,Tianist,President Dong Bao,"39,174,535","$26,624.00","558,660.44","215,700.00",5.00%,0.16%,2.50%,"40,153,898","$1,070,773,227,447.49 ","$26,666.73 ",2.60%,,,,,,,,,
Rusana,Audonia,Dolong,Unitary presidential republic,Islamic (Shi'ite),President Rostam Khosa,"79,443,253","$27,941.00","794,582.00","306,790.00",5.00%,0.16%,2.10%,"81,111,561","$2,269,975,607,352.64 ","$27,985.85 ",2.21%,,,,,,,,,
Pukhgundi,Audonia,Daria,Unitary parliamentary republic,Hindu,Prime Minister K. P. Yadav,"42,600,400","$21,304.00","387,669.42","149,680.00",7.50%,0.24%,2.90%,"43,835,812","$936,126,441,925.16 ","$21,355.29 ",3.05%,,,,,,,,,
Tapakdore,Audonia,Daria,Unitary absolute monarchy,Buddhist (Mahayana),Queen Chandrika IV,"67,080,102","$17,200.32","728,511.86","281,280.00",7.50%,0.24%,3.40%,"69,360,825","$1,195,900,609,371.13 ","$17,241.73 ",3.52%,,,,,,,,,
Umardwal,Audonia,Daria,Unitary theocratic Islamic republic,Islamic (Sunni),Ayatollah Fener Jîlwan,"75,889,290","$13,044.43","1,140,993.36","440,540.00",7.50%,0.24%,3.80%,"78,773,083","$1,030,023,793,884.95 ","$13,075.83 ",3.89%,,,,,,,,,
Yanuban,Audonia,Daria,Unitary presidential republic,Islamic (Sunni),President Simone al Zayd,"535,317,616","$14,502.00","852,831.29","329,280.00",7.50%,0.24%,3.10%,"551,912,462","$8,023,103,756,935.89 ","$14,536.91 ",3.24%,,,,,,,,,
Pursat,Audonia,Daria,Unitary Druze theocracy,Druze,Supreme Professor Amin al-Atrash,"161,058,500","$12,601.00","610,667.40","235,780.00",7.50%,0.24%,2.70%,"165,407,080","$2,089,312,548,050.14 ","$12,631.34 ",2.86%,,,,,,,,,
Bulkh,Audonia,Daria,Federal consociational presidential republic,Islamic (Sunni),Most Elected Minister Rahani Bintuta,"8,500,540","$22,436.46","824,056.52","318,170.00",7.50%,0.24%,3.20%,"8,772,557","$197,298,987,012.13 ","$22,490.48 ",3.33%,,,,,,,,,
Battganuur,Audonia,Daria,Unitary presidential republic,Islamic (Sunni),Chief of Ministers Faisal-Jallal Asayesh Aslani,"315,841,685","$18,332.00","1,525,943.29","589,170.00",7.50%,0.24%,3.40%,"326,580,302","$6,001,283,491,349.84 ","$18,376.13 ",3.52%,,,,,,,,,
Pelaxia,Sarpedon,Taino-Kindreds,Federal parliamentary republic,Irreligious,Prime Minister Pedro Meireles,"245,445,883","$32,286.35","1,879,476.67","725,670.00",5.00%,0.16%,2.40%,"251,336,584","$8,127,765,084,212.05 ","$32,338.17 ",2.50%,,,,,,,,,
Lariana,Sarpedon,Latium,Unitary constitutional monarchy,Catholic (Latin Rite),King Riordan I,"41,496,422","$42,764.00","101,980.00","39,370.00",3.50%,0.11%,1.34%,"42,052,474","$1,800,352,426,482.01 ","$42,812.05 ",1.43%,,,,,,,,,
Arona,Sarpedon,Vallos,Unitary Julian republic,Catholic (Latin Rite),President Alfons Elan,"4,475,587","$18,501.00","83,553.02","32,260.00",7.50%,0.24%,2.40%,"4,583,001","$84,994,235,302.37 ","$18,545.54 ",2.58%,,,,,,,,,
Almadaria,Sarpedon,Vallos,Unitary Valverdist one-party state,Catholic Apostolic (Vallosi Rite),President Ernesto Allende,"50,903,098","$25,562.00","1,087,043.91","419,710.00",5.00%,0.16%,2.40%,"52,124,772","$1,334,551,954,418.36 ","$25,603.03 ",2.50%,,,,,,,,,
Timbia,Australis,Peratra,Federal presidential constitutional republic,Irreligious,President Iakopo Hsin,"94,415,951","$33,875.00","1,111,156.70","429,020.00",5.00%,0.16%,0.75%,"95,124,071","$3,227,499,728,943.68 ","$33,929.37 ",0.90%,,,,,,,,,
Avonia,Levantia,Gothica,Federal elective constitutional monarchy,Catholic (Latin Rite),Prince Andrew IV,"16,882,708","$45,183.00","308,234.49","119,010.00",2.75%,0.09%,0.87%,"17,029,588","$770,127,084,799.15 ","$45,222.89 ",0.95%,,,,,,,,,
Hollona and Diorisia,Levantia,Gothica,Federal parliamentary republic,Catholic (Latin Rite),Speaker-President Ioannes Marcellino,"23,745,685","$51,257.00","276,118.63","106,610.00",2.75%,0.09%,0.97%,"23,976,018","$1,230,023,607,724.82 ","$51,302.25 ",1.05%,,,,,,,,,
Rhotia,Levantia,Great Levantia,Federal presidential constitutional republic,Catholic (Latin Rite),President Alexandru Lash,"139,934,356","$39,687.60","1,595,173.68","615,900.00",3.50%,0.11%,0.75%,"140,983,864","$5,601,597,519,908.97 ","$39,732.19 ",0.86%,,,,,,,,,
Lapody,Levantia,Great Levantia,Unitary parliamentary constitutional monarchy,Catholic (Latin Rite),President Dumini o-Matia,"180,484,510","$40,846.60","1,622,420.35","626,420.00",3.50%,0.11%,0.82%,"181,964,483","$7,440,981,010,883.78 ","$40,892.49 ",0.92%,,,,,,,,,
Alba Concordia,Levantia,Great Levantia,League of Nations headquarters,Catholic (Latin Rite),Provost-General Brenna Daenlaine,"96,401","$57,342.00",647.50,250.00,1.50%,0.05%,0.71%,"97,085","$5,569,754,253.60 ","$57,369.61 ",0.75%,,,,,,,,,
Ceylonia,Crona,South Crona,Unitary semi-presidential constitutional republic,Catholic (Latin Rite),President Miguel Sousa,"42,979,925","$48,291.00","892,458.00","344,580.00",2.75%,0.09%,2.03%,"43,852,417","$2,119,546,471,859.27 ","$48,333.63 ",2.08%,,,,,,,,,
Istrenya,Crona,South Crona,Unitary presidential constitutional republic,Catholic (Latin Rite),President M'Kole Tysh'le,"33,810,501","$23,627.04","1,092,386.00","421,773.00",7.50%,0.24%,1.72%,"34,392,042","$814,538,434,480.45 ","$23,683.92 ",1.93%,,,,,,,,,
Porlos,Crona,South Crona,Unitary semi-constitutional Woqalate,Catholic (Latin Rite),Woqali Furtado II,"35,727,139","$41,526.00","701,225.00","270,744.00",3.50%,0.11%,1.60%,"36,298,773","$1,509,036,356,599.55 ","$41,572.65 ",1.69%,,,,,,,,,
Mid-Atrassic States,Crona,Greater Nysdra,Confederal crowned republic,Chulcheoist,Governor-General Ivoŕ Arolian,"27,964,831","$29,563.00","1,698,358.80","655,740.00",5.00%,0.16%,2.10%,"28,552,092","$845,440,266,371.07 ","$29,610.45 ",2.21%,,,,,,,,,
Varshan,Crona,Central Crona,Federal presidential constitutional republic,State Arzalist,King-among-Citizens Yananzak,"699,674,028","$17,858.00","7,931,165.00","3,062,240.00",7.50%,0.24%,2.10%,"714,367,183","$12,787,882,031,377.10 ","$17,900.99 ",2.29%,,,,,,,,,
Quetzenkel,Crona,Greater Nysdra,Unitary parliamentary constitutional monarchy,M'acunist,King Telucti I,"65,082,550","$16,189.00","1,111,493.40","429,150.00",7.50%,0.24%,2.90%,"66,969,944","$1,086,786,577,343.98 ","$16,227.98 ",3.05%,,,,,,,,,
New Veltorina,Crona,Greater Nysdra,Unitary Julian republic,Catholic (Latin Rite),State-Overseer Niko Meletine & Majority Leader Makis Lucerna,"10,896,013","$21,476.50","654,645.40","252,760.00",7.50%,0.24%,2.50%,"11,168,413","$240,435,887,941.64 ","$21,528.20 ",2.67%,,,,,,,,,
Copake,Crona,Greater Nysdra,Federal presidential republic,Venua,President Melun Alacantan,"2,352,195","$3,304.00","508,595.97","196,370.00",10.00%,0.32%,3.10%,"2,425,113","$8,038,293,861.62 ","$3,314.61 ",3.32%,,,,,,,,,
East Arctic Mandate,Crona,Greater Nysdra,League of Nations Mandate,Animist,Administratrix Máire Cinnéad,"17,241","$25,253.00","179,227.18","69,200.00",5.00%,0.16%,0.63%,"17,350","$438,833,109.44 ","$25,293.53 ",0.79%,,,,,,,,,
New Archduchy,Crona,South Crona,Unitary parliamentary republic,Catholic (Latin Rite),Chancellor Marius Felen,"7,249,887","$71,402.00","54,260.25","20,950.00",0.50%,0.02%,0.84%,"7,310,786","$522,088,527,360.89 ","$71,413.46 ",0.85%,,,,,,,,,
International Nature Preserve,Crona,Greater Nysdra,League of Nations administration,Catholic (Latin Rite),Deputy Commissioner Patrice Cesco,"2,485","$48,659.00","1,815,478.07","700,960.00",2.75%,0.09%,0.00%,"2,485","$121,024,355.02 ","$48,701.95 ",0.09%,,,,,,,,,
Mandatory Venua'tino,Crona,Greater Nysdra,League of Nations Mandate,Venua,Commissioner Phillip Danicetus,"2,089,653","$15,486.00","1,383,804.75","534,290.00",7.50%,0.24%,3.60%,"2,164,881","$33,606,051,801.85 ","$15,523.28 ",3.71%,,,,,,,,,
Chenango Confederacy,Crona,Cusinaut ,Confederal presidential republic,M'acunist,President Helki Adohy,"11,345,341","$3,182.00","230,612.54","89,040.00",10.00%,0.32%,3.40%,"11,731,083","$37,448,128,672.56 ","$3,192.21 ",3.60%,,,,,,,,,
Algosh Republic,Crona,Cusinaut,Federal Julian republic,M'acunist,Hierarch Paka-antini & Chancellor Jala-meni,"51,453,979","$6,182.00","566,948.40","218,900.00",10.00%,0.32%,3.70%,"53,357,776","$330,916,616,060.67 ","$6,201.84 ",3.88%,,,,,,,,,
New Harren,Crona,Cusinaut,Confederal constitutional monarchy,Catholic (Latin Rite),King Riordan I,"28,707,939","$22,710.86","878,394.47","339,150.00",7.50%,0.24%,1.80%,"29,224,682","$665,315,559,485.43 ","$22,765.54 ",2.00%,,,,,,,,,
Caracua,Crona,Cusinaut,Federal parliamentary republic,M'acunist,President Cornamale of Toposa,"29,542,252","$8,136.00","850,811.09","328,500.00",10.00%,0.32%,2.70%,"30,339,893","$247,637,741,484.15 ","$8,162.12 ",2.94%,,,,,,,,,
Housatonic,Crona,Cusinaut,Unitary Julian republic,M'acunist,Chief of State Chilinash Wempa & Paramount Councilor Tiegale Hamis,"71,603","$21,242.00","24,915.69","9,620.00",7.50%,0.24%,2.90%,"73,679","$1,568,867,640.29 ","$21,293.14 ",3.05%,,,,,,,,,
Papal State,Levantia,Great Levantia,Unitary theocratic Catholic elective absolute monarchy,Catholic (Latin Rite),Pope Gregory XVII,"61,134","$58,568.00",3.32,1.28,1.50%,0.05%,0.58%,"61,489","$3,602,996,997.58 ","$58,596.20 ",0.62%,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
,,,,,,,,,,,0.00%,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,
